City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Cape Town,ZA,69.35,light rain,-33.9258,18.4232,
1,Havelock,US,55.92,clear sky,34.8791,-76.9013,
3,Provideniya,RU,26.71,broken clouds,64.3833,-173.3,
4,Ushuaia,AR,36.03,few clouds,-54.8,-68.3,
6,Klaksvik,FO,41.92,overcast clouds,62.2266,-6.589,
7,Hilo,US,55.92,clear sky,34.8791,-76.9013,
8,Araouane,ML,71.38,clear sky,18.9048,-3.5265,
9,Marsa Matruh,EG,61.79,overcast clouds,31.3525,27.2453,
10,Jamestown,US,33.53,overcast clouds,42.097,-79.2353,
12,Kodiak,US,55.92,clear sky,34.8791,-76.9013,
15,Mandalgovi,MN,29.41,broken clouds,45.7625,106.2708,
17,Korla,CN,43.92,broken clouds,41.7597,86.1469,
18,Lagoa,PT,58.03,overcast clouds,39.05,-27.9833,
19,Grand-Santi,GF,71.92,moderate rain,4.25,-54.3833,
21,Kizema,RU,22.08,few clouds,61.113,44.8302,
23,Hasaki,JP,53.89,scattered clouds,35.7333,140.8333,
24,Nkhata Bay,MW,73.4,light rain,-11.6066,34.2907,
25,Dillon,US,55.92,clear sky,34.8791,-76.9013,
26,Krasnovishersk,RU,22.08,few clouds,61.113,44.8302,
27,Punta Arenas,CL,46.11,broken clouds,-53.15,-70.9167,
29,Guanica,US,55.92,clear sky,34.8791,-76.9013,
31,Bredasdorp,ZA,69.35,light rain,-33.9258,18.4232,
32,Sidi Ali,DZ,46.11,clear sky,36.0998,0.4206,
34,Mys Shmidta,RU,22.08,few clouds,61.113,44.8302,
36,Verkhoyansk,RU,22.08,few clouds,61.113,44.8302,
39,Talnakh,RU,22.08,few clouds,61.113,44.8302,
40,Aswan,EG,61.79,overcast clouds,31.3525,27.2453,
41,Miles City,US,55.92,clear sky,34.8791,-76.9013,
43,Saint George,US,58.78,clear sky,37.1041,-113.5841,
44,Bisho,ZA,69.35,light rain,-33.9258,18.4232,
45,Tosya,TR,34.63,snow,41.0155,34.0401,
48,Khash,IR,57.36,clear sky,28.2211,61.2158,
51,Hermanus,ZA,69.35,light rain,-33.9258,18.4232,
52,Sitka,US,55.92,clear sky,34.8791,-76.9013,
55,Amderma,RU,22.08,few clouds,61.113,44.8302,
56,Coihaique,CL,46.11,broken clouds,-53.15,-70.9167,
58,Bluff,NZ,58.8,clear sky,-46.6,168.3333,
59,Richards Bay,ZA,69.35,light rain,-33.9258,18.4232,
60,Rocha,UY,56.91,clear sky,-34.4833,-54.3333,
62,Georgetown,US,33.53,overcast clouds,42.097,-79.2353,
63,Ganzhou,CN,43.92,broken clouds,41.7597,86.1469,
65,Kapaa,US,55.92,clear sky,34.8791,-76.9013,
66,East London,ZA,69.35,light rain,-33.9258,18.4232,
67,Port Elizabeth,ZA,69.35,light rain,-33.9258,18.4232,
69,Nizhneyansk,RU,22.08,few clouds,61.113,44.8302,
70,Mar Del Plata,AR,69.1,broken clouds,-38.0023,-57.5575,
71,Hakkari,TR,34.63,snow,41.0155,34.0401,
72,Kadykchan,RU,22.08,few clouds,61.113,44.8302,
73,Awjilah,LY,58.42,overcast clouds,29.1081,21.2869,
74,Katsuura,JP,53.89,scattered clouds,35.7333,140.8333,
75,Mehamn,NO,33.98,light snow,71.0357,27.8492,
76,Shimoda,JP,53.89,scattered clouds,35.7333,140.8333,
80,Lavrentiya,RU,22.08,few clouds,61.113,44.8302,
81,Koslan,RU,22.08,few clouds,61.113,44.8302,
82,Vinstra,NO,33.98,light snow,71.0357,27.8492,
83,Castro,CL,46.11,broken clouds,-53.15,-70.9167,
84,San Luis,AR,66.78,clear sky,-33.295,-66.3356,
86,Ponta Do Sol,PT,65.01,few clouds,32.6667,-17.1,
88,Beringovskiy,RU,22.08,few clouds,61.113,44.8302,
90,Marawi,PH,73.65,overcast clouds,7.9986,124.2928,
92,Siderno,IT,47.77,clear sky,38.2779,16.302,
94,Ribeira Grande,PT,58.03,overcast clouds,39.05,-27.9833,
98,Dikson,RU,22.08,few clouds,61.113,44.8302,
99,Nizhniy Baskunchak,RU,22.08,few clouds,61.113,44.8302,
100,Chahal,GT,65.55,broken clouds,15.75,-89.5667,
103,Ixtapa,AR,66.78,clear sky,-33.295,-66.3356,
106,Codrington,AU,74.71,broken clouds,-38.2667,141.9667,
108,Ponta Do Sol,PT,58.03,overcast clouds,39.05,-27.9833,
