City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Cape Town,ZA,-33.9258,18.4232,69.35,81,89,13.49,light rain
1,Havelock,US,34.8791,-76.9013,55.92,93,7,5.37,clear sky
2,Touros,BR,-5.1989,-35.4608,77.2,86,47,9.1,scattered clouds
3,Provideniya,RU,64.3833,-173.3,26.71,80,75,8.95,broken clouds
4,Ushuaia,AR,-54.8,-68.3,36.03,94,15,3.71,few clouds
5,Aklavik,CA,68.2191,-135.0107,-10.84,91,12,13.47,few clouds
6,Klaksvik,FO,62.2266,-6.589,41.92,84,100,9.51,overcast clouds
7,Hilo,US,34.8791,-76.9013,55.92,93,7,5.37,clear sky
8,Araouane,ML,18.9048,-3.5265,71.38,21,3,13.98,clear sky
9,Marsa Matruh,EG,31.3525,27.2453,61.79,55,100,15.43,overcast clouds
10,Jamestown,US,42.097,-79.2353,33.53,48,100,4.0,overcast clouds
11,Rikitea,PF,-23.1203,-134.9692,79.61,69,97,13.0,light rain
12,Kodiak,US,34.8791,-76.9013,55.92,93,7,5.37,clear sky
13,Thompson,CA,55.7435,-97.8558,-20.15,98,29,5.44,scattered clouds
14,Rio Grande,BR,-5.1989,-35.4608,77.2,86,47,9.1,scattered clouds
15,Mandalgovi,MN,45.7625,106.2708,29.41,27,61,15.39,broken clouds
16,Atuona,PF,-23.1203,-134.9692,79.61,69,97,13.0,light rain
17,Korla,CN,41.7597,86.1469,43.92,31,75,2.01,broken clouds
18,Lagoa,PT,39.05,-27.9833,58.03,83,100,17.67,overcast clouds
19,Grand-Santi,GF,4.25,-54.3833,71.92,100,100,0.67,moderate rain
20,Carnarvon,AU,-24.8667,113.6333,79.84,50,13,23.94,few clouds
21,Kizema,RU,61.113,44.8302,22.08,89,14,7.16,few clouds
22,Hithadhoo,MV,-0.6,73.0833,84.04,71,77,14.76,broken clouds
23,Hasaki,JP,35.7333,140.8333,53.89,56,47,12.57,scattered clouds
24,Nkhata Bay,MW,-11.6066,34.2907,73.4,84,100,5.39,light rain
25,Dillon,US,34.8791,-76.9013,55.92,93,7,5.37,clear sky
26,Krasnovishersk,RU,61.113,44.8302,22.08,89,14,7.16,few clouds
27,Punta Arenas,CL,-53.15,-70.9167,46.11,75,57,12.73,broken clouds
28,Albanel,CA,55.7435,-97.8558,-20.15,98,29,5.44,scattered clouds
29,Guanica,US,34.8791,-76.9013,55.92,93,7,5.37,clear sky
30,Pangnirtung,CA,55.7435,-97.8558,-20.15,98,29,5.44,scattered clouds
31,Bredasdorp,ZA,-33.9258,18.4232,69.35,81,89,13.49,light rain
32,Sidi Ali,DZ,36.0998,0.4206,46.11,55,0,6.49,clear sky
33,Port Hawkesbury,CA,55.7435,-97.8558,-20.15,98,29,5.44,scattered clouds
34,Mys Shmidta,RU,61.113,44.8302,22.08,89,14,7.16,few clouds
35,Avarua,CK,-21.2078,-159.775,82.45,78,40,8.05,scattered clouds
36,Verkhoyansk,RU,61.113,44.8302,22.08,89,14,7.16,few clouds
37,Ponnampet,IN,12.15,75.9333,82.67,18,44,6.67,scattered clouds
38,Hobart,AU,-24.8667,113.6333,79.84,50,13,23.94,few clouds
39,Talnakh,RU,61.113,44.8302,22.08,89,14,7.16,few clouds
40,Aswan,EG,31.3525,27.2453,61.79,55,100,15.43,overcast clouds
41,Miles City,US,34.8791,-76.9013,55.92,93,7,5.37,clear sky
42,Busselton,AU,-24.8667,113.6333,79.84,50,13,23.94,few clouds
43,Saint George,US,37.1041,-113.5841,58.78,27,0,4.34,clear sky
44,Bisho,ZA,-33.9258,18.4232,69.35,81,89,13.49,light rain
45,Tosya,TR,41.0155,34.0401,34.63,97,100,1.14,snow
46,Sao Mateus Do Maranhao,BR,-5.1989,-35.4608,77.2,86,47,9.1,scattered clouds
47,Domoni,KM,-12.2569,44.5319,81.43,84,74,7.63,moderate rain
48,Khash,IR,28.2211,61.2158,57.36,42,1,1.88,clear sky
49,Bandarbeyla,SO,9.4942,50.8122,78.87,66,35,16.11,scattered clouds
50,Armacao Dos Buzios,BR,-5.1989,-35.4608,77.2,86,47,9.1,scattered clouds
51,Hermanus,ZA,-33.9258,18.4232,69.35,81,89,13.49,light rain
52,Sitka,US,34.8791,-76.9013,55.92,93,7,5.37,clear sky
53,Bayeux,BR,-7.125,-34.9322,75.69,89,71,5.93,broken clouds
54,Albany,AU,-24.8667,113.6333,79.84,50,13,23.94,few clouds
55,Amderma,RU,61.113,44.8302,22.08,89,14,7.16,few clouds
56,Coihaique,CL,-53.15,-70.9167,46.11,75,57,12.73,broken clouds
57,Mataura,PF,-23.1203,-134.9692,79.61,69,97,13.0,light rain
58,Bluff,NZ,-46.6,168.3333,58.8,69,5,17.92,clear sky
59,Richards Bay,ZA,-33.9258,18.4232,69.35,81,89,13.49,light rain
60,Rocha,UY,-34.4833,-54.3333,56.91,77,0,6.91,clear sky
61,Yellowknife,CA,55.7435,-97.8558,-20.15,98,29,5.44,scattered clouds
62,Georgetown,US,42.097,-79.2353,33.53,48,100,4.0,overcast clouds
